# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	41768
#@/user_id	Squirrelx_Macx
bao cuo 	報錯	c=2 d=6.99802e-08 t=41768
bao dao 	報道	c=1 d=2.91082e-11 t=41768
bao dao 	寶刀	c=0 d=0.0071719 t=41768
bao gao 	報告	c=14 d=8.7323e-08 t=41768
bao gao ting 	報告廳	c=1 d=1 t=2358
bao guang 	曝光	c=3 d=2.88984e-12 t=41768
bao gui de 	寶貴的	c=1 d=4.34614e-21 t=41768
bao han le 	包含了	c=1 d=0.00349997 t=41768
bao hu 	保護	c=5 d=1.202 t=41768
bao hu tao 	保护套	c=1 d=2.36308e-29 t=41768
bao jia 	報價	c=6 d=0.000804734 t=41768
bao jiang 	爆浆	c=1 d=0.0603506 t=41768
bao jiang ji pai 	爆浆雞排	c=1 d=0.606531 t=41768
bao jing le 	報警了	c=1 d=0.219808 t=41768
bao kuan 	爆款	c=6 d=6.82874e-05 t=41768
bao kuan 	薄款	c=1 d=1.87436e-09 t=41768
bao kuo 	包括	c=8 d=0.224249 t=41768
bao li 	暴力	c=1 d=1.30836e-15 t=41768
bao li long 	暴鯉龍	c=2 d=0.140858 t=41768
bao liu 	保留	c=1 d=1.22203e-06 t=41768
bao lu le 	暴露了	c=1 d=0.202909 t=41768
bao man 	飽滿	c=0 d=0.00135009 t=41768
bao ping an 	保平安	c=1 d=1 t=1212
bao rong 	包容	c=1 d=2.61392e-10 t=41768
bao shai 	暴曬	c=1 d=0.0290133 t=41768
bao xiu 	保修	c=7 d=0.644036 t=41768
bao xue 	暴雪	c=2 d=0.353932 t=41768
bao yin 	爆音	c=1 d=1 t=133
bao you 	包郵	c=3 d=0.0401553 t=41768
bao you de 	包郵的	c=1 d=0.0010333 t=41768
bao zao 	暴躁	c=1 d=5.35444e-05 t=41768
bao zha 	爆炸	c=9 d=0.217724 t=41768
bao zhao 	爆照	c=1 d=3.44845e-05 t=41768
bao zhuang 	包裝	c=7 d=3.39827e-09 t=41768
